,test_c,test_i,train_c,train_i
0,1028,8972,6265,53735
1,8832,1168,52670,7330
2,8933,1067,53383,6617
3,8959,1041,53683,6317
4,8948,1052,53697,6303
5,8933,1067,53607,6393
6,8971,1029,53779,6221
7,8925,1075,53607,6393
8,8931,1069,53741,6259
9,8949,1051,53798,6202
10,8981,1019,53790,6210
11,8970,1030,53692,6308
12,8953,1047,53742,6258
13,8969,1031,54001,5999
14,8947,1053,53677,6323
15,9001,999,54100,5900
16,9003,997,54080,5920
17,8994,1006,53836,6164
18,8996,1004,54131,5869
19,8928,1072,53692,6308
20,8977,1023,53987,6013
21,9000,1000,54109,5891
22,8958,1042,53984,6016
23,8977,1023,54036,5964
24,8999,1001,54316,5684
25,9008,992,54266,5734
26,9002,998,54270,5730
27,8943,1057,53897,6103
28,9000,1000,54207,5793
29,8986,1014,54186,5814
30,8994,1006,54113,5887
31,9008,992,54323,5677
32,9035,965,54436,5564
33,9008,992,54296,5704
34,9000,1000,54309,5691
35,8988,1012,54201,5799
36,9025,975,54340,5660
37,9009,991,54346,5654
38,8990,1010,54198,5802
39,9000,1000,54255,5745
40,9004,996,54326,5674
41,9054,946,54389,5611
42,9015,985,54313,5687
43,8978,1022,54195,5805
44,9004,996,54328,5672
45,9007,993,54198,5802
46,9030,970,54374,5626
47,9054,946,54477,5523
48,9040,960,54411,5589
49,9035,965,54298,5702
50,8986,1014,54160,5840
