,test_c,test_i,train_c,train_i
0,1043,8957,6279,53721
1,9481,519,57029,2971
2,9570,430,57675,2325
3,9608,392,57967,2033
4,9630,370,58150,1850
5,9623,377,58240,1760
6,9634,366,58373,1627
7,9625,375,58444,1556
8,9634,366,58521,1479
9,9626,374,58562,1438
10,9640,360,58610,1390
11,9637,363,58640,1360
12,9625,375,58642,1358
13,9628,372,58665,1335
14,9628,372,58710,1290
15,9629,371,58723,1277
16,9630,370,58735,1265
17,9627,373,58716,1284
18,9631,369,58729,1271
19,9629,371,58716,1284
20,9631,369,58747,1253
21,9636,364,58727,1273
22,9637,363,58717,1283
23,9635,365,58796,1204
24,9647,353,58808,1192
25,9641,359,58814,1186
26,9628,372,58805,1195
27,9635,365,58808,1192
28,9633,367,58800,1200
29,9618,382,58848,1152
30,9625,375,58849,1151
31,9623,377,58845,1155
32,9615,385,58877,1123
33,9613,387,58906,1094
34,9621,379,58901,1099
35,9617,383,58901,1099
36,9613,387,58864,1136
37,9621,379,58877,1123
38,9616,384,58930,1070
39,9617,383,58947,1053
40,9614,386,58941,1059
41,9611,389,58924,1076
42,9597,403,58926,1074
43,9597,403,58933,1067
44,9597,403,58911,1089
45,9604,396,58950,1050
46,9596,404,58965,1035
47,9597,403,58979,1021
48,9591,409,58996,1004
49,9595,405,58988,1012
50,9597,403,58980,1020
