,test_c,test_i,train_c,train_i
0,901,9099,5287,54713
1,1001,8999,5923,54077
2,1001,8999,5923,54077
3,1001,8999,5923,54077
4,1001,8999,5923,54077
5,1001,8999,5923,54077
6,1001,8999,5923,54077
7,1001,8999,5923,54077
8,1001,8999,5923,54077
9,1001,8999,5923,54077
10,1001,8999,5923,54077
11,1001,8999,5923,54077
12,1001,8999,5923,54077
13,1001,8999,5923,54077
14,1001,8999,5923,54077
15,1001,8999,5923,54077
16,1001,8999,5923,54077
17,1001,8999,5923,54077
18,1001,8999,5923,54077
19,1001,8999,5923,54077
20,1001,8999,5923,54077
21,1001,8999,5923,54077
22,1001,8999,5923,54077
23,1001,8999,5923,54077
24,1001,8999,5923,54077
25,1001,8999,5923,54077
26,1001,8999,5923,54077
27,1001,8999,5923,54077
28,1001,8999,5923,54077
29,1001,8999,5923,54077
30,1001,8999,5923,54077
31,1001,8999,5923,54077
32,1001,8999,5923,54077
33,1001,8999,5923,54077
34,1001,8999,5923,54077
35,1001,8999,5923,54077
36,1001,8999,5923,54077
37,1001,8999,5923,54077
38,1001,8999,5923,54077
39,1001,8999,5923,54077
40,1001,8999,5923,54077
41,1001,8999,5923,54077
42,1001,8999,5923,54077
43,1001,8999,5923,54077
44,1001,8999,5923,54077
45,1001,8999,5923,54077
46,1001,8999,5923,54077
47,1001,8999,5923,54077
48,1001,8999,5923,54077
49,1001,8999,5923,54077
50,1001,8999,5923,54077
