,test_c,test_i,train_c,train_i
0,1032,8968,5958,54042
1,9452,548,56821,3179
2,9600,400,57848,2152
3,9635,365,58181,1819
4,9658,342,58363,1637
5,9666,334,58474,1526
6,9685,315,58556,1444
7,9687,313,58622,1378
8,9692,308,58664,1336
9,9691,309,58710,1290
10,9692,308,58731,1269
11,9697,303,58780,1220
12,9695,305,58796,1204
13,9693,307,58805,1195
14,9702,298,58827,1173
15,9704,296,58852,1148
16,9700,300,58875,1125
17,9700,300,58887,1113
18,9702,298,58904,1096
19,9697,303,58918,1082
20,9698,302,58930,1070
21,9700,300,58944,1056
22,9700,300,58947,1053
23,9699,301,58961,1039
24,9706,294,58968,1032
25,9706,294,58974,1026
26,9706,294,58984,1016
27,9703,297,58988,1012
28,9701,299,58995,1005
29,9701,299,59002,998
30,9697,303,59016,984
31,9698,302,59020,980
32,9697,303,59023,977
33,9698,302,59036,964
34,9700,300,59042,958
35,9700,300,59047,953
36,9700,300,59054,946
37,9702,298,59063,937
38,9706,294,59062,938
39,9708,292,59068,932
40,9705,295,59082,918
41,9704,296,59088,912
42,9707,293,59096,904
43,9704,296,59099,901
44,9703,297,59099,901
45,9702,298,59103,897
46,9700,300,59112,888
47,9697,303,59111,889
48,9700,300,59116,884
49,9698,302,59123,877
50,9700,300,59133,867
