,test_c,test_i,train_c,train_i
0,621,4379,3260,26740
1,479,4521,2961,27039
2,479,4521,2961,27039
3,479,4521,2961,27039
4,479,4521,2961,27039
5,479,4521,2961,27039
6,479,4521,2961,27039
7,479,4521,2961,27039
8,479,4521,2961,27039
9,479,4521,2961,27039
10,479,4521,2961,27039
11,479,4521,2961,27039
12,479,4521,2961,27039
13,479,4521,2961,27039
14,479,4521,2961,27039
15,479,4521,2961,27039
16,479,4521,2961,27039
17,479,4521,2961,27039
18,479,4521,2961,27039
19,479,4521,2961,27039
20,479,4521,2961,27039
21,479,4521,2961,27039
22,479,4521,2961,27039
23,479,4521,2961,27039
24,479,4521,2961,27039
25,479,4521,2961,27039
26,479,4521,2961,27039
27,479,4521,2961,27039
28,479,4521,2961,27039
29,479,4521,2961,27039
30,479,4521,2961,27039
31,479,4521,2961,27039
32,479,4521,2961,27039
33,479,4521,2961,27039
34,479,4521,2961,27039
35,479,4521,2961,27039
36,479,4521,2961,27039
37,479,4521,2961,27039
38,479,4521,2961,27039
39,479,4521,2961,27039
40,479,4521,2961,27039
41,479,4521,2961,27039
42,479,4521,2961,27039
43,479,4521,2961,27039
44,479,4521,2961,27039
45,479,4521,2961,27039
46,479,4521,2961,27039
47,479,4521,2961,27039
48,479,4521,2961,27039
49,479,4521,2961,27039
50,1001,8999,5923,54077
